,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
102,عيون القلب,3,356tzIGWB9Q8MFP4yk0d32,فاكرة,spotify:track:356tzIGWB9Q8MFP4yk0d32,0.839,0.385,0.279,0.00151,0.134,-10.691,0.0371,126.649,0.33,15
103,عيون القلب,4,55HS624LYOCR3QwOUxWbMJ,أنا بعشق البحر,spotify:track:55HS624LYOCR3QwOUxWbMJ,0.086,0.47,0.38,0.0029,0.24,-11.53,0.0605,170.706,0.614,32
104,محلاها عيشة الفلاح,1,7bUhch3PCenL8PJxVEPYp5,محلاها عيشة الفلاح,spotify:track:7bUhch3PCenL8PJxVEPYp5,0.589,0.339,0.516,0.000455,0.179,-11.034,0.0404,160.996,0.695,4
105,محلاها عيشة الفلاح,2,5I83yeBCCu0SmgzK0MB6SV,يا مسافر وحدك,spotify:track:5I83yeBCCu0SmgzK0MB6SV,0.836,0.333,0.244,0.00175,0.114,-11.888,0.0523,78.002,0.295,18
106,محلاها عيشة الفلاح,3,6TKQbpRlsHe4nRzj5j3dHv,ما كانش ع البال,spotify:track:6TKQbpRlsHe4nRzj5j3dHv,0.919,0.451,0.208,0,0.091,-11.134,0.04,103.323,0.25,4
107,نجاة,1,1LBr7bdUrBXC3vEMKW0yKN,لا تكذبى تسجيل حفلة,spotify:track:1LBr7bdUrBXC3vEMKW0yKN,0.789,0.368,0.319,0,0.667,-9.457,0.0519,91.06,0.264,7
108,نجاة,2,0KniA511ar8n0r9dcN9o5c,مرسال الهوا تسجيل حفلة,spotify:track:0KniA511ar8n0r9dcN9o5c,0.902,0.352,0.547,0.00201,0.96,-7.389,0.0516,114.145,0.459,1
109,نجاة,1,5zbhgOrUnwTYGjvDXaLlOg,أسهر و إنشغل,spotify:track:5zbhgOrUnwTYGjvDXaLlOg,0.949,0.36,0.248,3.1e-06,0.0964,-9.544,0.0346,107.8,0.409,4
110,نجاة,2,5Rp1tYp5h3Y1cfQqp3w5yv,كلمنى عن بكره,spotify:track:5Rp1tYp5h3Y1cfQqp3w5yv,0.885,0.362,0.219,0,0.137,-8.805,0.0346,138.11,0.35,5
111,نجاة,3,0ZRPOq8rwGuZRQXoHYiOzd,سماره سماره,spotify:track:0ZRPOq8rwGuZRQXoHYiOzd,0.905,0.372,0.365,0,0.352,-7.656,0.0308,107.854,0.428,4
