album_name,song_name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
حلاوة الحب,سارقين النوم,0.917,0.35600000000000004,0.317,4.44e-05,0.972,-11.966,0.0465,102.708,0.336,0
شكل تانى,شكل تانى,0.9520000000000001,0.39799999999999996,0.284,0.0021899999999999997,0.753,-12.866,0.0487,115.04299999999999,0.226,5
شكل تانى,القريب منك,0.77,0.439,0.34,0.0,0.124,-8.895,0.0316,108.805,0.33799999999999997,11
شكل تانى,عال اليادى,0.606,0.396,0.48,0.0,0.133,-7.367999999999999,0.0354,129.70600000000002,0.5720000000000001,6
عيون القلب,عيون القلب تسجيل حفلة,0.8640000000000001,0.354,0.32899999999999996,0.000121,0.9470000000000001,-11.013,0.0577,133.821,0.183,25
عيون القلب,بحلم معاك,0.293,0.496,0.441,0.00419,0.11199999999999999,-11.199000000000002,0.0302,105.88799999999999,0.515,32
عيون القلب,فاكرة,0.8390000000000001,0.385,0.27899999999999997,0.00151,0.134,-10.690999999999999,0.0371,126.649,0.33,15
عيون القلب,أنا بعشق البحر,0.086,0.47,0.38,0.0029,0.24,-11.53,0.0605,170.706,0.614,32
محلاها عيشة الفلاح,محلاها عيشة الفلاح,0.589,0.33899999999999997,0.516,0.000455,0.179,-11.034,0.0404,160.996,0.695,4
محلاها عيشة الفلاح,يا مسافر وحدك,0.836,0.33299999999999996,0.244,0.00175,0.114,-11.888,0.0523,78.002,0.295,18
محلاها عيشة الفلاح,ما كانش ع البال,0.919,0.451,0.20800000000000002,0.0,0.091,-11.134,0.04,103.323,0.25,4
نجاة,لا تكذبى تسجيل حفلة,0.789,0.368,0.319,0.0,0.667,-9.457,0.0519,91.06,0.264,7
نجاة,مرسال الهوا تسجيل حفلة,0.902,0.35200000000000004,0.547,0.00201,0.96,-7.388999999999999,0.0516,114.145,0.45899999999999996,1
نجاة,أسهر و إنشغل,0.9490000000000001,0.36,0.248,3.1e-06,0.0964,-9.544,0.0346,107.8,0.409,4
نجاة,كلمنى عن بكره,0.885,0.36200000000000004,0.21899999999999997,0.0,0.13699999999999998,-8.805,0.0346,138.11,0.35,5
نجاة,سماره سماره,0.905,0.37200000000000005,0.365,0.0,0.35200000000000004,-7.656000000000001,0.0308,107.854,0.428,4
نجاة,العوازل ياما قالوا,0.892,0.41,0.22,0.00016299999999999998,0.138,-9.396,0.0391,146.84799999999998,0.314,6
نجاة,بان على حبه,0.845,0.389,0.221,0.0,0.198,-10.227,0.0372,142.162,0.433,6
نجاة,قلبك راح فين,0.932,0.354,0.221,0.0,0.13699999999999998,-9.873,0.0422,69.277,0.33899999999999997,5
نجاة,طول عمرى أحبك,0.929,0.384,0.258,2.18e-05,0.32299999999999995,-10.447000000000001,0.0347,126.287,0.473,6
نجاة,غريبة منسية,0.8809999999999999,0.365,0.18,0.0,0.23199999999999998,-10.390999999999998,0.0355,122.929,0.222,5
نجاة,بكانى لما خلصت دموعى,0.8490000000000001,0.366,0.32899999999999996,0.0,0.247,-7.531000000000001,0.0332,135.148,0.475,1
نجاة,سامحنى تبت خلاص,0.9640000000000001,0.32,0.151,7.269999999999999e-05,0.105,-12.337,0.0385,107.37899999999999,0.215,5
نجاة,حقك على وسامح,0.877,0.45899999999999996,0.23199999999999998,0.0,0.10400000000000001,-10.876,0.0396,124.37100000000001,0.27699999999999997,0
El Hob Shatter- Rare Recording,El Hob Shatter,0.315,0.46799999999999997,0.565,2.95e-06,0.0537,-6.535,0.0352,118.20200000000001,0.465,13
El Hob Shatter- Rare Recording,Sayad Al Touyour,0.737,0.40700000000000003,0.54,0.0,0.0694,-7.681,0.0609,132.27100000000002,0.345,11
El Hob Shatter- Rare Recording,Batwanness Beek,0.314,0.307,0.861,0.00628,0.0679,-3.4730000000000003,0.21600000000000003,173.273,0.573,21
Allah Karim,El Sabri Tayib,0.14400000000000002,0.625,0.9,9.74e-06,0.313,-7.332000000000001,0.0768,145.031,0.723,20
Allah Karim,Allah Karim,0.419,0.682,0.805,0.0,0.212,-7.822,0.11800000000000001,96.985,0.725,23
Allah Karim,El Ayam Di So'eba Shwaya,0.479,0.64,0.701,3.94e-06,0.0875,-6.2589999999999995,0.0451,84.962,0.535,14
Allah Karim,Shou Kran,0.19,0.629,0.838,2.33e-06,0.11699999999999999,-6.7,0.0629,92.039,0.746,21
Allah Karim,Min Hena W Rayeh,0.287,0.42,0.583,2.19e-06,0.138,-8.746,0.047,159.715,0.29600000000000004,13
Allah Karim,El Dahab Ya Habibi,0.505,0.606,0.7440000000000001,0.0,0.273,-7.2829999999999995,0.114,174.058,0.738,14
Allah Karim,La Trouh,0.478,0.5529999999999999,0.648,0.0,0.19,-6.781000000000001,0.0758,135.053,0.6459999999999999,19
Beirut Concert - Live Rare Recordings,Bethbneeni,0.196,0.34600000000000003,0.81,1.8000000000000001e-06,0.5760000000000001,-4.76,0.135,162.815,0.687,7
Beirut Concert - Live Rare Recordings,Konti Bent 3 Seneen,0.489,0.552,0.85,0.0,0.205,-5.052,0.0694,111.478,0.637,8
Beirut Concert - Live Rare Recordings,Yalli Ta'ebna Seneen Fi Hawah Live,0.672,0.371,0.5579999999999999,1.49e-05,0.37799999999999995,-6.399,0.0677,148.457,0.494,7
Beirut Concert - Live Rare Recordings,Quly Latkhbish Ya Zain,0.51,0.455,0.8109999999999999,0.0,0.128,-6.718999999999999,0.121,109.666,0.564,6
Beirut Concert - Live Rare Recordings,Mijana wa Atabaa Live,0.826,0.38,0.45899999999999996,0.000651,0.23,-9.635,0.115,88.10799999999999,0.385,7
Beirut Concert - Live Rare Recordings,Ala Dalouna,0.5579999999999999,0.40700000000000003,0.628,9.78e-06,0.354,-6.525,0.12300000000000001,98.926,0.47700000000000004,9
Beirut Concert - Live Rare Recordings,Salasel Fada,0.643,0.309,0.893,0.0,0.8270000000000001,-4.758,0.255,177.12099999999998,0.591,6
Canada Concert-Live Rare Recording,Ya Masahrni,0.8590000000000001,0.517,0.6559999999999999,0.000259,0.20800000000000002,-4.731,0.0477,96.86200000000001,0.359,7
Canada Concert-Live Rare Recording,Habibi Yessa'd Awato,0.627,0.546,0.76,6.52e-05,0.122,-2.415,0.0432,107.3,0.381,5
Canada Concert-Live Rare Recording,El Lalah Eid,0.752,0.408,0.568,0.0,0.0444,-2.6210000000000004,0.0371,109.302,0.302,4
Canada Concert-Live Rare Recording,Daret Al Ayam,0.693,0.389,0.509,0.0,0.135,-2.639,0.0384,109.34700000000001,0.259,4
Canada Concert-Live Rare Recording,Ansaak,0.349,0.358,0.517,0.0,0.32899999999999996,-4.297,0.0368,119.024,0.40399999999999997,5
Canada Concert-Live Rare Recording,Arouh Lemeen,0.8440000000000001,0.32,0.797,0.00215,0.113,-3.196,0.0589,111.29700000000001,0.40700000000000003,4
Canada Concert-Live Rare Recording,Awat Einy,0.28300000000000003,0.251,0.494,0.066,0.292,-4.82,0.038,96.294,0.21,4
Kuwait Concert - LIVE Rare recording,Al Atlal,0.792,0.337,0.6809999999999999,0.875,0.392,-4.7410000000000005,0.0568,124.305,0.564,4
Kuwait Concert - LIVE Rare recording,Inta Omri,0.7909999999999999,0.262,0.8590000000000001,0.903,0.23,-6.2,0.188,138.433,0.424,4
Kuwait Concert - LIVE Rare recording,La Tekoni Methi Gharik,0.74,0.475,0.8170000000000001,0.19699999999999998,0.33799999999999997,-5.636,0.0496,103.072,0.7709999999999999,3
Kuwait Concert - LIVE Rare recording,Al Janob 'Mawal',0.894,0.27699999999999997,0.639,0.0038200000000000005,0.435,-7.001,0.0562,123.226,0.557,4
Kuwait Concert - LIVE Rare recording,Mama Ya Mama,0.8109999999999999,0.253,0.7020000000000001,0.00555,0.92,-6.968,0.109,87.291,0.647,4
Kuwait Concert - LIVE Rare recording,Yalli Ta'ebna Seneen Fi Hawah,0.929,0.312,0.58,0.604,0.884,-7.691,0.0387,73.098,0.354,2
Mawawel (Live Rare Recording),Mawal Medley 1,0.7829999999999999,0.287,0.7120000000000001,0.0002,0.363,-3.708,0.081,57.178999999999995,0.11599999999999999,7
Mawawel (Live Rare Recording),Mawal Medley 2,0.877,0.311,0.7390000000000001,0.107,0.711,-4.073,0.0392,128.09,0.434,7
Mawawel (Live Rare Recording),Mawal Medley 3,0.902,0.22399999999999998,0.618,0.00023500000000000002,0.13699999999999998,-3.335,0.0404,164.771,0.18600000000000003,6
Mawawel (Live Rare Recording),Mawal Medley 4,0.9279999999999999,0.24100000000000002,0.612,4.0799999999999996e-05,0.293,-3.79,0.0505,167.46599999999998,0.293,5
Mawawel (Live Rare Recording),Mawal Medley 5,0.892,0.28,0.8340000000000001,0.00151,0.33899999999999997,-3.114,0.0452,97.432,0.44,5
Mawawel (Live Rare Recording),Mawal Medley 6,0.988,0.284,0.478,0.0173,0.33,-3.46,0.0337,89.863,0.185,5
Mawawel (Live Rare Recording),Mawal Medley 7,0.7440000000000001,0.376,0.475,0.00114,0.16399999999999998,-4.112,0.0332,114.897,0.16,5
Mawawel (Live Rare Recording),Mawal Medley 8,0.688,0.455,0.444,0.00278,0.0996,-10.19,0.125,109.792,0.244,5
Mawawel (Live Rare Recording),Mawal Medley 9,0.787,0.313,0.723,8.85e-05,0.184,-6.181,0.0751,117.333,0.21899999999999997,5
Mawawel (Live Rare Recording),Mawal Medley 10,0.8759999999999999,0.22699999999999998,0.6629999999999999,0.0449,0.662,-7.035,0.051,77.727,0.353,5
Mawawel (Live Rare Recording),Mawal Medley 11,0.8,0.405,0.45299999999999996,9.76e-05,0.401,-7.182,0.0421,111.47200000000001,0.267,5
Mawawel (Live Rare Recording),Mawal Medley 12,0.8759999999999999,0.252,0.42,0.001,0.473,-6.666,0.0382,71.539,0.249,6
Paris Concert - Live Rare Recording,Lissa Faker,0.701,0.326,0.7170000000000001,3.34e-05,0.359,-3.0060000000000002,0.0432,96.427,0.479,4
Paris Concert - Live Rare Recording,Ana Fi Intizarak,0.293,0.153,0.7390000000000001,0.184,0.188,-2.78,0.0447,204.19799999999998,0.34299999999999997,3
Paris Concert - Live Rare Recording,Yama Layali,0.6779999999999999,0.368,0.879,0.000573,0.11199999999999999,-3.282,0.0885,127.81200000000001,0.573,2
Paris Concert - Live Rare Recording,Albi Saeed,0.575,0.512,0.655,0.0,0.259,-6.146,0.0578,111.115,0.607,3
Paris Concert - Live Rare Recording,Awati Betehlow,0.607,0.33,0.846,0.023,0.462,-2.146,0.0539,103.779,0.345,2
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Debna A Ghiabak - Live,0.9209999999999999,0.48100000000000004,0.298,0.0,0.128,-12.315999999999999,0.0942,129.253,0.527,5
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Mahla Tamahl,0.883,0.491,0.248,0.0,0.133,-12.694,0.0615,106.65,0.409,3
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Had Yensa Alboh,0.929,0.585,0.42100000000000004,4.7799999999999996e-05,0.3,-11.386,0.0813,138.616,0.63,3
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Law Habatak (Mawal),0.9129999999999999,0.38299999999999995,0.44299999999999995,1.51e-05,0.192,-9.038,0.0446,100.779,0.462,5
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Wahdak Habeebi,0.9259999999999999,0.516,0.45899999999999996,1.11e-05,0.14400000000000002,-10.579,0.0486,98.03299999999999,0.6759999999999999,5
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Law Nawat,0.9229999999999999,0.46399999999999997,0.336,6.06e-06,0.382,-11.08,0.054000000000000006,112.056,0.314,14
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Tawam Rohy,0.975,0.5579999999999999,0.401,3.42e-06,0.376,-10.269,0.0668,97.56299999999999,0.614,3
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Bahlam Beek,0.958,0.601,0.335,0.0,0.647,-11.19,0.0481,121.82,0.46799999999999997,6
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,La’ab El Hawa,0.961,0.588,0.475,1.21e-06,0.622,-9.524,0.135,117.87899999999999,0.565,4
Shrah Almstkbl 1996 - Lil Ala'ashkin Rare Recording,Om Kolsoum (Medley),0.961,0.41200000000000003,0.289,0.0,0.588,-11.162,0.0474,104.645,0.28800000000000003,6
Kalamak Ya Habibi,Aalem albi El Shok,0.0689,0.684,0.7170000000000001,5.65e-06,0.125,-9.182,0.034,134.98,0.6709999999999999,11
Kalamak Ya Habibi,Kalamak Ya Habibi,0.478,0.5529999999999999,0.674,3.18e-05,0.21100000000000002,-8.597999999999999,0.0604,156.13,0.546,12
Kalamak Ya Habibi,Sibt El Dounya,0.136,0.685,0.865,0.0009050000000000001,0.0676,-8.154,0.0518,125.007,0.723,11
Kalamak Ya Habibi,Ya Nougoum El Lail,0.424,0.6940000000000001,0.569,8.43e-06,0.239,-8.736,0.0402,93.01,0.643,9
Kalamak Ya Habibi,Addi Eli Kanou,0.316,0.7190000000000001,0.731,0.0,0.22899999999999998,-8.704,0.0538,95.039,0.784,9
Kalamak Ya Habibi,Asaab Fourak,0.31,0.64,0.613,2.84e-06,0.33899999999999997,-7.928,0.0363,120.042,0.696,17
El Hawa Sultan Rare Recordings,El Hawa Sultan,0.7120000000000001,0.49700000000000005,0.615,5.429999999999999e-05,0.0518,-7.398,0.0358,136.66299999999998,0.688,39
El Hawa Sultan Rare Recordings,Helaf El Amar,0.7140000000000001,0.433,0.518,1.32e-05,0.0504,-7.957999999999999,0.0433,120.935,0.723,39
El Hawa Sultan Rare Recordings,Gouli Wlatkhbish,0.674,0.632,0.578,0.0,0.0307,-8.077,0.0344,106.306,0.76,28
El Hawa Sultan Rare Recordings,Rohi Yanssmah,0.58,0.414,0.665,0.000872,0.0311,-8.398,0.0622,136.28799999999998,0.672,33
